"","type1","name1","type2","name2"
"4817","protein_coding","Filip1l","protein_coding","BC067068"
"4818","protein_coding","Adcy2","LINE","L1_Mus4"
"4819","protein_coding","Odz4","protein_coding","Erbb4"
"4820","LTR","IAPEz-int","protein_coding","Inadl"
"4821","protein_coding","Rbm44","protein_coding","Dapk2"
"4822","LTR","MTA_Mm","protein_coding","Zfp398"
"4823","LINE","L1Md_T","protein_coding","Sgsm2"
"4824","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"4825","protein_coding","Pdcd7","LTR","IAPEz-int"
"4826","protein_coding","Stom","protein_coding","Wnk1"
"4827","protein_coding","Acer3","protein_coding","Polr1a"
"4828","LTR","IAPEz-int","rRNA_repeat","LSU-rRNA_Hsa"
"4829","protein_coding","Sacm1l","LTR","IAPEz-int"
"4830","protein_coding","Sacm1l","protein_coding","Dlgap1"
"4831","protein_coding","Itga9","protein_coding","Dlgap1"
"4832","LTR","IAPEz-int","protein_coding","Dzip1"
"4833","protein_coding","Csf3r","protein_coding","C230081A13Rik"
"4834","protein_coding","Zeb2","LTR","IAPEz-int"
"4835","LTR","IAPEz-int","LTR","RMER17A2"
"4836","DNA","URR1A","protein_coding","Ppp6c"
"4837","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Dlgap1"
"4838","protein_coding","Mdga2","protein_coding-noncoding","Hs6st2"
"4839","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"4840","LTR","IAPEz-int","LTR","IAPEz-int"
"4841","protein_coding","Pld3","protein_coding","Ankib1"
"4842","protein_coding","Cript","LINE","L1_Mur2"
"4843","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"4844","LTR","IAPEz-int","LTR","IAPEz-int"
"4845","LTR","IAPEz-int","lincRNA","Malat1"
"4846","protein_coding","Plcxd2","protein_coding","St8sia1"
"4847","protein_coding","Scaf8","protein_coding","Rdh16"
"4848","LTR","IAPEz-int","LTR","IAPEz-int"
"4849","SINE","B1_Mur4","protein_coding","C230081A13Rik"
"4850","protein_coding","Iws1","protein_coding","Csnk1g1"
"4851","LTR","IAPEz-int","LTR","IAPEz-int"
"4852","protein_coding","Stard9","protein_coding","Dgkb"
"4853","LTR","IAPLTR2a","protein_coding","Itga9"
"4854","LTR","IAPEz-int","protein_coding","Pik3c2b"
"4855","protein_coding","Trio","LTR","IAPEz-int"
"4856","protein_coding","Cntnap2","protein_coding","Tfdp1"
"4857","LTR","IAPEz-int","protein_coding","Sacm1l"
"4858","LTR","MMERVK10C-int","LTR","IAPEz-int"
"4859","protein_coding","Ola1","protein_coding","Naa50"
"4860","protein_coding","Pde4d","Low_complexity","T-rich"
"4861","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"4862","protein_coding","Mtap4","lincRNA","Gm17245"
"4863","rRNA_repeat","LSU-rRNA_Hsa","LINE","L1MEc"
"4864","lincRNA","Malat1","LINE","L1_Mur2"
"4865","protein_coding","Sacm1l","protein_coding","Dlgap1"
"4866","protein_coding","Rasa3","pseudogene","Gm3828"
"4867","protein_coding","Atp8a2","protein_coding","Diras2"
"4868","SINE","B1_Mm","protein_coding","Wwox"
"4869","protein_coding","Rdh9","lincRNA","Gm16712"
"4870","LTR","IAPEz-int","protein_coding","Ephb1"
"4871","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Camk1d"
"4872","protein_coding","Trip4","LTR","IAPEz-int"
"4873","rRNA_repeat","LSU-rRNA_Hsa","LINE","L1_Mus1"
"4874","LINE","Lx3A","LINE","L1VL1"
"4875","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"4876","protein_coding","Sacm1l","protein_coding","Dlgap1"
"4877","LTR","IAPEz-int","rRNA_repeat","LSU-rRNA_Hsa"
"4878","protein_coding","Sacm1l","protein_coding","Dlgap1"
"4879","LTR","IAPEz-int","LTR","IAPEz-int"
"4880","LTR","IAPEz-int","protein_coding","Ninl"
"4881","LTR","IAPEz-int","LTR","IAPEz-int"
"4882","LTR","IAPEz-int","LTR","IAPEz-int"
"4883","lincRNA","9330185C12Rik","LTR","IAPEz-int"
"4884","LTR","IAPLTR2a","protein_coding","9430031J16Rik"
"4885","rRNA_repeat","LSU-rRNA_Hsa","rRNA_repeat","LSU-rRNA_Hsa"
"4886","LTR","IAPEz-int","protein_coding","Mctp2"
"4887","LTR","IAPEz-int","LTR","IAPEz-int"
"4888","SINE","B1F1","protein_coding","Pkp4"
"4889","LTR","IAPEz-int","LTR","IAPEz-int"
"4890","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Rab31"
"4891","LTR","IAPEz-int","LTR","IAPEz-int"
"4892","protein_coding","Ube3b","LTR","IAPEz-int"
"4893","LTR","IAPEz-int","LTR","IAPEz-int"
"4894","protein_coding","Atrn","LTR","IAPEz-int"
"4895","protein_coding","Ctnnal1","protein_coding","Plcl1"
"4896","protein_coding","Odz2","protein_coding","Rps28"
"4897","LTR","IAPEz-int","LTR","IAPEz-int"
"4898","LTR","IAPLTR2a","protein_coding","Lrrc7"
"4899","SINE","B4A","protein_coding","Arfip1"
"4900","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"4901","DNA","Cheshire","protein_coding","Fcgbp"
"4902","LTR","IAPLTR2a","protein_coding","Stard9"
"4903","protein_coding","Slc7a14","protein_coding","Sacm1l"
"4904","protein_coding","Mdga2","protein_coding","Osbpl1a"
"4905","LTR","RLTR10-int","protein_coding","Qrfpr"
"4906","LTR","IAPEz-int","LTR","IAPEz-int"
"4907","LINE","L1Md_A","LTR","RLTR42-int"
"4908","protein_coding","Shisa6","protein_coding","4930522L14Rik"
"4909","protein_coding","Usp34","LINE","L1Md_F3"
"4910","protein_coding","Rbm6","antisense","2210411M09Rik"
"4911","SINE","B2_Mm2","protein_coding","Srgap3"
"4912","protein_coding","Sacm1l","protein_coding","Dlgap1"
"4913","protein_coding","Maneal","LTR","MTE2a"
"4914","protein_coding","Copg2","protein_coding","4921513D23Rik"
"4915","protein_coding","Fut8","protein_coding","Sacm1l"
"4916","protein_coding","Dlg2","protein_coding","Ncam1"
"4917","protein_coding","Zbtb20","LINE","L1M2"
"4918","SINE","B1_Mm","rRNA_repeat","LSU-rRNA_Hsa"
"4919","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"4920","protein_coding","Lrrc7","LINE","L1Md_T"
"4921","protein_coding","Zswim5","SINE","B4A"
"4922","protein_coding","Yars","protein_coding","Il1rapl1"
"4923","protein_coding","Zfp398","LTR","MYSERV-int"
"4924","protein_coding","Mapk1","protein_coding","Ccm2"
"4925","LTR","IAPEz-int","LTR","IAPEz-int"
"4926","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Gria1"
"4927","LTR","IAPEz-int","LTR","IAPEz-int"
"4928","LTR","IAPEz-int","LTR","IAPEz-int"
"4929","protein_coding","Arhgef4","LTR","IAPEz-int"
"4930","protein_coding","Sntg1","processed_transcript","4930586N03Rik"
"4931","protein_coding","Itga9","LTR","MTC"
"4932","LINE","L1_Mus1","LINE","Lx4A"
"4933","protein_coding","Rere","protein_coding","Ppp2r3a"
"4934","LTR","IAPEz-int","protein_coding","Inpp4a"
"4935","LTR","IAPEz-int","SINE","B2_Mm2"
"4936","protein_coding","Tbc1d4","LTR","MMERVK10C-int"
"4937","SINE","B1_Mm","protein_coding","Sacm1l"
"4938","protein_coding","Epha6","protein_coding","Ankrd6"
"4939","LTR","IAPEz-int","SINE","B2_Mm2"
"4940","protein_coding","Jazf1","protein_coding","Ank2"
"4941","SINE","ID_B1","protein_coding","4930522L14Rik"
"4942","protein_coding","Ankar","LINE","L1_Mus4"
"4943","LTR","IAPEz-int","LTR","IAPEz-int"
"4944","protein_coding","Cd47","protein_coding","Trpv1"
"4945","protein_coding","Csf3r","protein_coding","Kcnip4"
"4946","protein_coding","Eml1","protein_coding","1700008O03Rik"
"4947","SINE","B4A","protein_coding","Gsk3b"
"4948","LTR","IAPEz-int","LTR","IAPEz-int"
"4949","protein_coding","Mei1","protein_coding","Odz2"
"4950","protein_coding","Jarid2","protein_coding","Filip1l"
"4951","protein_coding","Sacm1l","protein_coding","Dlgap1"
"4952","LINE","Lx2B","protein_coding","Ankdd1b"
"4953","LTR","RMER17D2","protein_coding","Olfr631"
"4954","protein_coding","2210009G21Rik","protein_coding-noncoding","Eif4a2"
"4955","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"4956","LTR","IAPEz-int","protein_coding","Tmem9"
"4957","LTR","IAPEz-int","LTR","IAPEz-int"
"4958","protein_coding","1700007G11Rik","protein_coding","E130308A19Rik"
"4959","LINE","Lx7","protein_coding","Ptpra"
"4960","LTR","ORR1D-int","protein_coding","Kcnip1"
"4961","LTR","IAPEz-int","LTR","IAPEz-int"
"4962","protein_coding","A930011G23Rik","protein_coding","Fam120b"
"4963","protein_coding","Fut8","protein_coding","Sacm1l"
"4964","LTR","IAPEz-int","LTR","IAPEz-int"
"4965","protein_coding","2210009G21Rik","protein_coding","Zfp398"
"4966","LINE","Lx6","LTR","IAPEz-int"
"4967","LTR","IAPLTR2a","protein_coding","Eepd1"
"4968","protein_coding","Itga9","LTR","IAPEz-int"
"4969","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"4970","protein_coding","Lrrc7","protein_coding","Efr3b"
"4971","protein_coding","Alk","protein_coding","Yeats2"
"4972","protein_coding","Zmiz1","protein_coding","Ankdd1b"
"4973","rRNA_repeat","LSU-rRNA_Hsa","LINE","L1Md_T"
"4974","protein_coding","Snx31","protein_coding","1700012B07Rik"
"4975","SINE","B4A","protein_coding","Sgcd"
"4976","protein_coding","Ksr2","lincRNA","2610316D01Rik"
"4977","LTR","IAPEz-int","LTR","MLT2B1"
"4978","protein_coding","Fut8","protein_coding","Sacm1l"
"4979","protein_coding","Dlgap2","protein_coding","Serhl"
"4980","LTR","MTEa","protein_coding","Cap2"
"4981","LTR","IAPLTR2a","protein_coding","Atxn10"
"4982","Low_complexity","AT_rich","protein_coding","Dnajc22"
"4983","protein_coding","Cuedc1","protein_coding","Laptm4a"
"4984","protein_coding","Kalrn","protein_coding","Diap3"
"4985","protein_coding","Sacm1l","protein_coding","Dlgap1"
"4986","LTR","IAPEz-int","protein_coding","Sacm1l"
"4987","LTR","IAPEY3-int","protein_coding","Cntn5"
"4988","LTR","RMER15","protein_coding","Negr1"
"4989","LTR","IAPEz-int","LTR","IAPEz-int"
"4990","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"4991","protein_coding","Rap1a","protein_coding","Crim1"
"4992","protein_coding","Kirrel3","SINE","PB1D10"
"4993","Simple_repeat","(CA)n","protein_coding","Cntnap1"
"4994","LTR","IAPEz-int","SINE","B2_Mm1a"
"4995","protein_coding","Oca2","protein_coding","Pppde2"
"4996","protein_coding","Tcof1","protein_coding","Sdk2"
"4997","protein_coding","Kalrn","LINE","Lx2B"
"4998","protein_coding","Lhpp","protein_coding","Samd4"
"4999","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"5000","protein_coding","Tcof1","protein_coding","Rad50"
"5001","protein_coding","Itga9","rRNA_repeat","LSU-rRNA_Hsa"
"5002","LTR","IAPLTR2a","protein_coding","Kcnip4"
"5003","DNA","MER63B","protein_coding","Pde8b"
"5004","protein_coding","Fig4","LTR","IAPEz-int"
"5005","protein_coding","Sacm1l","protein_coding","Tbcd"
"5006","LINE","L1_Mur2","protein_coding","Edem2"
"5007","LTR","IAPEz-int","LTR","IAPEz-int"
"5008","protein_coding","C230081A13Rik","rRNA_repeat","LSU-rRNA_Hsa"
"5009","protein_coding","Epb4.2","protein_coding","Oxr1"
"5010","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5011","LTR","IAPEz-int","LTR","IAPEz-int"
"5012","protein_coding","Etl4","protein_coding","Uba3"
"5013","LTR","MMERVK10C-int","rRNA_repeat","LSU-rRNA_Hsa"
"5014","protein_coding","Cops7a","protein_coding","Ankdd1b"
"5015","SINE","B2_Mm1a","protein_coding","BC048546"
"5016","protein_coding","D7Ertd443e","SINE","B1_Mur1"
"5017","protein_coding","Itga9","protein_coding","1700025G04Rik"
"5018","protein_coding","Zc3h7a","protein_coding","Cdh20"
"5019","protein_coding","Lrrc7","protein_coding","Tbc1d22b"
"5020","protein_coding","Pdzd9","LTR","IAPEz-int"
"5021","rRNA_repeat","LSU-rRNA_Hsa","rRNA_repeat","LSU-rRNA_Hsa"
"5022","LINE","L1_Mus4","protein_coding","3200002M19Rik"
"5023","protein_coding","Zfp398","protein_coding","Nat1"
"5024","LINE","L1_Mus1","protein_coding","Tspan5"
"5025","protein_coding","Lrrtm4","protein_coding","Edc3"
"5026","LTR","IAPEz-int","protein_coding","Rdh9"
"5027","protein_coding","Hnrnpm","SINE","B2_Mm2"
"5028","protein_coding","Fbxl20","protein_coding","Atxn1"
"5029","protein_coding","Txndc2","lincRNA","4930500J02Rik"
"5030","protein_coding","Gm7971","protein_coding","4932438A13Rik"
"5031","pseudogene","Gm13535","LTR","RLTR23"
"5032","protein_coding","Sacm1l","protein_coding","Dlgap1"
"5033","protein_coding","Rora","protein_coding","Ksr2"
"5034","protein_coding","Camk1d","LINE","Lx2B"
"5035","protein_coding","Eif3a","protein_coding","Auts2"
"5036","LTR","MT2A","protein_coding","Dcakd"
"5037","LTR","IAPEz-int","protein_coding","Gnb1l"
"5038","protein_coding","Ica1l","protein_coding","Kcnd2"
"5039","protein_coding","Tceb1","DNA","URR1A"
"5040","protein_coding","Zfp940","protein_coding","Nek7"
"5041","protein_coding","Slc13a3","protein_coding","Ncoa2"
"5042","protein_coding","Ube3b","protein_coding","Vps41"
"5043","LTR","IAPEz-int","LTR","IAPEz-int"
"5044","LTR","IAPEz-int","LTR","IAPEz-int"
"5045","LTR","IAPEz-int","protein_coding","Sacm1l"
"5046","LTR","IAPEz-int","protein_coding","Ppp1r1b"
"5047","protein_coding","Ap1g1","protein_coding","Sox6"
"5048","protein_coding","Nebl","protein_coding","Chrnb4"
"5049","LTR","IAPEz-int","LTR","IAPEz-int"
"5050","lincRNA","Gm12511","lincRNA","4931403G20Rik"
"5051","LINE","Lx4B","protein_coding","Ncam1"
"5052","protein_coding","Sacm1l","protein_coding","Dlgap1"
"5053","protein_coding","Gnb1l","protein_coding","Jak2"
"5054","LTR","IAPLTR2a","protein_coding","Elmo1"
"5055","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"5056","LTR","RMER17C","protein_coding","Pcdh19"
"5057","LTR","IAPEz-int","protein_coding","Odz2"
"5058","LTR","MLT2C1","protein_coding","Sacm1l"
"5059","SINE","B2_Mm2","protein_coding","Fbln5"
"5060","protein_coding","Atxn2","protein_coding","Cst7"
"5061","LTR","MTE2b","LINE","L1Md_T"
"5062","protein_coding","Lims2","protein_coding","Ift122"
"5063","LTR","IAPLTR2a","LTR","MERVL-int"
"5064","protein_coding","Sgsm2","protein_coding","Fam13b"
"5065","protein_coding","Nrxn1","SINE","RSINE1"
"5066","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"5067","LTR","ORR1D2","LTR","IAPEz-int"
"5068","rRNA_repeat","LSU-rRNA_Hsa","lincRNA","Gm14095"
"5069","LTR","ORR1B1","protein_coding","Xrn1"
"5070","protein_coding","Camk1d","protein_coding","2310046A06Rik"
"5071","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"5072","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5073","protein_coding","Kcnq5","protein_coding","Nedd1"
"5074","lincRNA","Malat1","LINE","L1MC3"
"5075","LTR","MTE2a","protein_coding","Xkr6"
"5076","protein_coding","Stmn2","LINE","L1_Mus2"
"5077","LINE","L1Md_F2","LTR","IAPEz-int"
"5078","LTR","IAPEz-int","LINE","L1MDa"
"5079","LTR","MMERVK10C-int","protein_coding","Prrg4"
"5080","protein_coding","Cdh4","protein_coding","Rab39"
"5081","protein_coding","Jarid2","rRNA_repeat","LSU-rRNA_Hsa"
"5082","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5083","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"5084","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5085","LTR","IAPLTR2a","protein_coding","Tnk1"
"5086","LTR","IAPLTR2a","LTR","IAPEz-int"
"5087","protein_coding","Mid1","LINE","L2"
"5088","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"5089","protein_coding","Fat3","protein_coding","Clns1a"
"5090","protein_coding","Scaf4","LTR","IAPEz-int"
"5091","LTR","IAPEz-int","LTR","IAPEz-int"
"5092","Low_complexity","AT_rich","protein_coding","Slc16a11"
"5093","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5094","LTR","IAPEz-int","LTR","IAPEz-int"
"5095","LTR","MTD","protein_coding","Ndufa7"
"5096","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5097","protein_coding","Phka1","protein_coding","Gm11146"
"5098","LINE","L1_Mus1","LTR","LTRIS2"
"5099","protein_coding","Sacm1l","protein_coding","Dlgap1"
"5100","protein_coding","Zfp74","SINE","B3"
"5101","protein_coding","Rit2","protein_coding","Psrc1"
"5102","protein_coding","Mtss1","protein_coding","2010111I01Rik"
"5103","LTR","IAPEz-int","LTR","IAPEz-int"
"5104","LTR","IAPEz-int","LTR","IAPEz-int"
"5105","LINE","L1Md_F2","protein_coding","Slc1a6"
"5106","LTR","RLTR15","protein_coding","Serinc5"
"5107","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Csmd1"
"5108","protein_coding","Zfp398","SINE","RSINE1"
"5109","LINE","L1_Mus1","LINE","Lx2B"
"5110","LINE","L1_Mur3","SINE","B2_Mm2"
"5111","protein_coding","Sacm1l","protein_coding","Dlgap1"
"5112","protein_coding","Akr1b8","LINE","L1Md_F2"
"5113","protein_coding","Atg10","protein_coding","Lrba"
"5114","protein_coding","Sacm1l","protein_coding","5730437N04Rik"
"5115","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5116","lincRNA","Gm11986","LTR","IAPEz-int"
"5117","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"5118","protein_coding","Caln1","LTR","ORR1A2"
"5119","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"5120","LTR","IAPEz-int","LTR","IAPEz-int"
"5121","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"5122","SINE","B1_Mur4","LINE","Lx8"
"5123","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5124","LTR","IAPEz-int","lincRNA","Rian"
"5125","protein_coding","Fut8","protein_coding","Sacm1l"
"5126","LINE","L1Md_A","protein_coding","A630055G03Rik"
"5127","protein_coding","Grm1","protein_coding","Gm1973"
"5128","LTR","MLT1A1","SINE","B4"
"5129","LTR","MMERVK10C-int","protein_coding","N28178"
"5130","LTR","IAPEz-int","LTR","IAPEz-int"
"5131","LINE","L1_Mus1","protein_coding","Snap91"
"5132","pseudogene","Gm12248","protein_coding","Nlgn1"
"5133","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"5134","rRNA_repeat","LSU-rRNA_Hsa","LTR","IAPEz-int"
"5135","protein_coding","Grid2","SINE","PB1D7"
"5136","protein_coding","Rad51l1","LTR","MLT1B"
"5137","protein_coding","Sacm1l","protein_coding","Srd5a1"
"5138","LINE","Lx7","protein_coding","Cdh6"
"5139","LTR","IAPEz-int","protein_coding","Mad1l1"
"5140","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5141","protein_coding","Orc3","protein_coding","Acsbg1"
"5142","protein_coding","Ccdc109b","protein_coding","Jak2"
"5143","protein_coding","Plxna4","protein_coding","Camk1d"
"5144","LTR","IAPEz-int","protein_coding","Shoc2"
"5145","protein_coding","Cd53","protein_coding","Pcdh9"
"5146","protein_coding","Arap2","protein_coding","Mgat4c"
"5147","protein_coding","Fut8","protein_coding","Sacm1l"
"5148","protein_coding","Lpp","LINE","L1Md_F2"
"5149","protein_coding","Klrd1","protein_coding","Kcnip4"
"5150","LTR","ORR1E","protein_coding","Lrrc4c"
"5151","protein_coding","Fut8","rRNA_repeat","LSU-rRNA_Hsa"
"5152","protein_coding","Ppargc1a","protein_coding","Hipk2"
"5153","LTR","BGLII_B","protein_coding","Nsd1"
"5154","LTR","IAPEz-int","LTR","IAPEz-int"
"5155","protein_coding","Atrnl1","miRNA","mmu-let-7a-5p"
"5156","protein_coding","Socs6","protein_coding","Abr"
"5157","protein_coding","C230081A13Rik","rRNA_repeat","LSU-rRNA_Hsa"
"5158","protein_coding","Sppl3","protein_coding","D18Ertd653e"
"5159","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"5160","LTR","IAPEz-int","LTR","IAPEz-int"
"5161","protein_coding","B930007M17Rik","SINE","B4"
"5162","LTR","MTD","protein_coding","Agrn"
"5163","protein_coding","Csmd3","protein_coding","Edc3"
"5164","LTR","IAPEz-int","LTR","IAPEz-int"
"5165","LTR","IAPEz-int","protein_coding","Fabp3"
"5166","protein_coding","Ccdc105","protein_coding","Ctnna2"
"5167","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"5168","rRNA_repeat","LSU-rRNA_Hsa","LTR","IAPEz-int"
"5169","protein_coding","Kalrn","protein_coding","Grik2"
"5170","LTR","IAPEz-int","LTR","IAPEz-int"
"5171","protein_coding","Jarid2","protein_coding","Zfp398"
"5172","protein_coding","Sacm1l","protein_coding","Dlgap1"
"5173","LTR","IAPEz-int","LTR","IAPEz-int"
"5174","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"5175","protein_coding","Fam126a","protein_coding","Pcdhga9"
"5176","protein_coding","Zc3h7a","LTR","MLT1A1"
"5177","protein_coding","Itga9","protein_coding","Ebf3"
"5178","LTR","IAPEz-int","protein_coding","Olfr631"
"5179","lincRNA","4932412D23Rik","LINE","L1_Mm"
"5180","LTR","MT-int","protein_coding","Gria4"
"5181","LTR","IAPEz-int","LTR","IAPEz-int"
"5182","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"5183","protein_coding","Smgc","protein_coding","Zfp398"
"5184","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"5185","protein_coding","Myo1c","LTR","RMER19C"
"5186","protein_coding","Gm20388","protein_coding","Ttn"
"5187","LINE","Lx9","protein_coding","Gm1973"
"5188","protein_coding","Mll1","LINE","L1Md_F2"
"5189","protein_coding","Itga9","rRNA_repeat","LSU-rRNA_Hsa"
"5190","lincRNA","Gm16875","protein_coding","Dmd"
"5191","protein_coding","Sacm1l","protein_coding","Wwox"
"5192","protein_coding","Pld3","protein_coding","Ankib1"
"5193","protein_coding","Zswim5","SINE","B4A"
"5194","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"5195","protein_coding","Kdm3b","protein_coding","Pclo"
"5196","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5197","protein_coding","Ehd4","protein_coding","Prickle1"
"5198","LTR","IAPEz-int","protein_coding","Vmn2r61"
"5199","LTR","RLTR24","protein_coding","Kcnip4"
"5200","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"5201","LTR","IAPLTR2a","protein_coding","Hlcs"
"5202","protein_coding","Crtam","protein_coding","Olfr291"
"5203","LINE","L1_Mus1","protein_coding","Sema6d"
"5204","SINE","B3A","protein_coding","Edc3"
"5205","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"5206","LINE","L1_Mus2","protein_coding","Adarb2"
"5207","LTR","IAPEz-int","protein_coding","Serpinb6a"
"5208","protein_coding","Fut8","protein_coding","Sacm1l"
"5209","protein_coding","Fam155a","protein_coding","Zfp398"
"5210","protein_coding","Mef2c","protein_coding","Psmg1"
"5211","SINE","B1_Mm","protein_coding","Sacm1l"
"5212","protein_coding","Txn2","protein_coding","Mdm4"
"5213","LTR","IAPEz-int","LTR","IAPEz-int"
"5214","protein_coding","Tuft1","protein_coding","Plcb1"
"5215","protein_coding","Malt1","protein_coding","Sae1"
"5216","protein_coding","Rgs7","protein_coding","Col5a3"
"5217","protein_coding","4930550C14Rik","protein_coding","Tab3"
"5218","DNA","URR1A","LTR","IAPEz-int"
"5219","LTR","IAPEz-int","protein_coding","Tcf12"
"5220","protein_coding","Mdga2","protein_coding","Grk1"
"5221","LTR","IAPEz-int","LTR","IAPEz-int"
"5222","LTR","IAPEz-int","LTR","IAPEz-int"
"5223","LTR","MTEa","rRNA_repeat","LSU-rRNA_Hsa"
"5224","protein_coding","Acvr1b","LINE","L1Md_T"
"5225","protein_coding","Sacm1l","LTR","IAPEz-int"
"5226","LTR","IAPEz-int","LTR","IAPEz-int"
"5227","LINE","Lx","protein_coding","Trim30c"
"5228","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"5229","LTR","ORR1C1","antisense","Gm16832"
"5230","LTR","IAPEz-int","LTR","IAPEz-int"
"5231","protein_coding","Lrrk1","protein_coding","C1qtnf1"
"5232","LTR","IAPEz-int","LTR","IAPEz-int"
"5233","Simple_repeat","(TTTG)n","protein_coding","BC025920"
"5234","LTR","ETnERV2-int","protein_coding","Cbx7"
"5235","LTR","IAPEz-int","LTR","IAPEz-int"
"5236","protein_coding","Tex21","protein_coding","Lrp2bp"
"5237","LTR","IAPEz-int","LTR","IAPEz-int"
"5238","protein_coding","Sorbs1","LTR","MYSERV-int"
"5239","protein_coding","2310022A10Rik","LTR","IAPEz-int"
"5240","protein_coding","Xkr4","SINE","B3A"
"5241","LTR","MurERV4_19-int","protein_coding","Wdfy4"
"5242","protein_coding","Sacm1l","protein_coding","Dlgap1"
"5243","protein_coding","Sgcz","protein_coding","Sacm1l"
"5244","LTR","IAPEz-int","LTR","IAPEz-int"
"5245","SINE","B4A","protein_coding","Fam13c"
"5246","protein_coding","5430403G16Rik","protein_coding","Gal3st3"
"5247","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5248","LTR","MTD","protein_coding","Rasgrf2"
"5249","protein_coding","Plekha6","LTR","IAPEz-int"
"5250","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"5251","LTR","IAPEz-int","protein_coding","Macrod2"
"5252","LINE","L1Md_T","protein_coding","Lass4"
"5253","LTR","IAPEz-int","LTR","IAPEz-int"
"5254","protein_coding","Sacm1l","protein_coding","Mapk8ip2"
"5255","protein_coding","Arfgef2","protein_coding","Psd3"
"5256","protein_coding","Sacm1l","protein_coding","Dlgap1"
"5257","LTR","RLTR26","protein_coding","Opcml"
"5258","protein_coding","Cd47","SINE","B4A"
"5259","LTR","ORR1A2-int","protein_coding","Ntng1"
"5260","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"5261","protein_coding","Ankle2","rRNA_repeat","LSU-rRNA_Hsa"
"5262","LTR","IAPEz-int","LTR","IAPEz-int"
"5263","LTR","IAPLTR2a","protein_coding","Slc16a10"
"5264","LTR","IAPLTR2a","protein_coding","Npepps"
"5265","protein_coding","Dlgap1","protein_coding","Sacm1l"
"5266","LTR","IAPEz-int","LTR","IAPEz-int"
"5267","LTR","IAPEz-int","LTR","IAPEz-int"
"5268","LTR","IAPEz-int","LTR","IAPEz-int"
"5269","LTR","IAPEz-int","LTR","IAPEz-int"
"5270","LTR","IAPEz-int","LTR","IAPEz-int"
"5271","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
